P2Name,GoLong, ,HateThePlayer, ,ILikeTrainsKid, ,Playah, ,ShaoPlayer, ,Shopaholic, ,Swoosh, ,TyrionLannister, 
GoLong,245,191,207,104,201,187,157,315,223,145,234,215,198,173,234,225
HateThePlayer,17,227,226,172,40,192,119,354,41,226,80,186,74,206,84,293
ILikeTrainsKid,215,184,269,36,238,193,263,226,211,101,143,137,244,197,219,151
Playah,307,205,339,110,342,226,230,231,291,169,327,206,246,179,193,237
ShaoPlayer,14,223,135,271,95,148,180,264,164,105,128,188,106,207,88,276
Shopaholic,163,216,164,143,144,233,219,311,220,2,192,222,226,193,203,242
Swoosh,216,188,167,173,137,290,151,313,216,146,218,173,223,234,180,233
TyrionLannister,240,201,268,63,189,189,188,285,237,126,244,221,209,208,79,68
,,,,,,,,,,,,,,,,
GoLong,GoLong,245,191,,GoLong,1699,1635,1555,1417,,362,,,,,
GoLong,HateThePlayer,207,104,,HateThePlayer,681,1072,1856,1775,,-1878,,,,,
GoLong,ILikeTrainsKid,201,187,,ILikeTrainsKid,1802,1658,1225,1386,,849,,,,,
GoLong,Playah,157,315,,Playah,2275,2299,1563,1507,,1504,,,,,
GoLong,ShaoPlayer,223,145,,ShaoPlayer,910,1020,1682,1603,,-1355,,,,,
GoLong,Shopaholic,234,215,,Shopaholic,1531,1548,1562,1566,,-49,,,,,
GoLong,Swoosh,198,173,,Swoosh,1508,1597,1750,1526,,-171,,,,,
GoLong,TyrionLannister,234,225,,TyrionLannister,1654,1725,1361,1280,,738,,,,,
HateThePlayer,GoLong,17,227,,,,,,,,,,,,,
HateThePlayer,HateThePlayer,226,172,,,,,,,,,,,,,
HateThePlayer,ILikeTrainsKid,40,192,,GoLong,362,,,,,,,,,,
HateThePlayer,Playah,119,354,,HateThePlayer,-1878,,,,,,,,,,
HateThePlayer,ShaoPlayer,41,226,,ILikeTrainsKid,849,,,,,,,,,,
HateThePlayer,Shopaholic,80,186,,Playah,1504,,,,,,,,,,
HateThePlayer,Swoosh,74,206,,ShaoPlayer,-1355,,,,,,,,,,
HateThePlayer,TyrionLannister,84,293,,Shopaholic,-49,,,,,,,,,,
ILikeTrainsKid,GoLong,215,184,,Swoosh,-171,,,,,,,,,,
ILikeTrainsKid,HateThePlayer,269,36,,TyrionLannister,738,,,,,,,,,,
ILikeTrainsKid,ILikeTrainsKid,238,193,,,,,,,,,,,,,
ILikeTrainsKid,Playah,263,226,,,,,,,,,,,,,
ILikeTrainsKid,ShaoPlayer,211,101,,,,,,,,,,,,,
ILikeTrainsKid,Shopaholic,143,137,,,,,,,,,,,,,
ILikeTrainsKid,Swoosh,244,197,,,,,,,,,,,,,
ILikeTrainsKid,TyrionLannister,219,151,,,,,,,,,,,,,
Playah,GoLong,307,205,,,,,,,,,,,,,
Playah,HateThePlayer,339,110,,,,,,,,,,,,,
Playah,ILikeTrainsKid,342,226,,,,,,,,,,,,,
Playah,Playah,230,231,,,,,,,,,,,,,
Playah,ShaoPlayer,291,169,,,,,,,,,,,,,
Playah,Shopaholic,327,206,,,,,,,,,,,,,
Playah,Swoosh,246,179,,,,,,,,,,,,,
Playah,TyrionLannister,193,237,,,,,,,,,,,,,
ShaoPlayer,GoLong,14,223,,,,,,,,,,,,,
ShaoPlayer,HateThePlayer,135,271,,,,,,,,,,,,,
ShaoPlayer,ILikeTrainsKid,95,148,,,,,,,,,,,,,
ShaoPlayer,Playah,180,264,,,,,,,,,,,,,
ShaoPlayer,ShaoPlayer,164,105,,,,,,,,,,,,,
ShaoPlayer,Shopaholic,128,188,,,,,,,,,,,,,
ShaoPlayer,Swoosh,106,207,,,,,,,,,,,,,
ShaoPlayer,TyrionLannister,88,276,,,,,,,,,,,,,
Shopaholic,GoLong,163,216,,,,,,,,,,,,,
Shopaholic,HateThePlayer,164,143,,,,,,,,,,,,,
Shopaholic,ILikeTrainsKid,144,233,,,,,,,,,,,,,
Shopaholic,Playah,219,311,,,,,,,,,,,,,
Shopaholic,ShaoPlayer,220,2,,,,,,,,,,,,,
Shopaholic,Shopaholic,192,222,,,,,,,,,,,,,
Shopaholic,Swoosh,226,193,,,,,,,,,,,,,
Shopaholic,TyrionLannister,203,242,,,,,,,,,,,,,
Swoosh,GoLong,216,188,,,,,,,,,,,,,
Swoosh,HateThePlayer,167,173,,,,,,,,,,,,,
Swoosh,ILikeTrainsKid,137,290,,,,,,,,,,,,,
Swoosh,Playah,151,313,,,,,,,,,,,,,
Swoosh,ShaoPlayer,216,146,,,,,,,,,,,,,
Swoosh,Shopaholic,218,173,,,,,,,,,,,,,
Swoosh,Swoosh,223,234,,,,,,,,,,,,,
Swoosh,TyrionLannister,180,233,,,,,,,,,,,,,
TyrionLannister,GoLong,240,201,,,,,,,,,,,,,
TyrionLannister,HateThePlayer,268,63,,,,,,,,,,,,,
TyrionLannister,ILikeTrainsKid,189,189,,,,,,,,,,,,,
TyrionLannister,Playah,188,285,,,,,,,,,,,,,
TyrionLannister,ShaoPlayer,237,126,,,,,,,,,,,,,
TyrionLannister,Shopaholic,244,221,,,,,,,,,,,,,
TyrionLannister,Swoosh,209,208,,,,,,,,,,,,,
TyrionLannister,TyrionLannister,79,68,,,,,,,,,,,,,
